danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.554,0.748,-3.288,0.144,0.0569,0.0,0.127,0.378,172.244,2xSIcmvFQHs2CeS34Mgp62,147410,5
0.623,0.692,-5.122,0.0504,0.328,0.0,0.153,0.566,79.899,6iaSML1PIYq936g62BDtBq,240051,2
0.702,0.792,-6.154,0.362,0.0662,0.000647,0.105,0.352,132.048,7gpSIL1cTo9hRaJWzJ366l,167230,4
0.719,0.426,-8.064,0.0792,0.391,0.00011,0.115,0.318,99.059,2sFsvaMRe8PKo5AFdBE9qC,165477,1
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,6CDzDgIUqeDY5g8ujExx2f,238805,1
0.774,0.792,-4.021,0.0523,0.051,0.0,0.155,0.507,122.062,3eJH2nAjvNXdmPfBkALiPZ,139672,2
0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,5fwSHlTEWpluwOM0Sxnh5k,287120,5
0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,171375,2
0.637,0.819,-4.609,0.101,0.0486,0.00255,0.113,0.286,125.007,7xvBUedE9qpLNtIv3VmHXh,198479,5
0.81,0.571,-7.189,0.085,0.0624,1.63e-06,0.094,0.771,125.994,6eCmK3GQyFuTNWCJHsaF9d,179375,2
0.756,0.522,-7.429,0.188,0.0087,0.0,0.158,0.251,119.915,2RDefzoeUOz5tF1aTIAjO1,150253,5
0.67,0.838,-4.031,0.0362,0.0605,0.000611,0.159,0.716,105.0,33cYcQm6naYAywTtdnrdxP,222041,2
0.745,0.757,-5.008,0.0459,0.068,1.52e-06,0.334,0.558,123.991,6VcBDMF2ykm5HDcJMVLRZW,182619,2
0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,153190,5
0.643,0.908,-6.218,0.0854,0.346,0.00171,0.536,0.325,137.996,1RL3XrX806xgvtqGKWUGsf,151352,0
0.697,0.893,-5.85,0.169,0.0204,0.0,0.389,0.407,142.962,6ADIkIpPJOlBOY9ZMaKlle,168827,2
0.646,0.864,-3.727,0.0718,0.087,0.0,0.0923,0.082,87.419,0PX9O7QzWYClP6PPuIaomj,264000,5
0.756,0.429,-8.079,0.0295,0.0101,0.000589,0.153,0.092,95.008,4MQIDIQjNWkUvpXe5Je7TO,213474,5
0.359,0.889,-1.712,0.0869,0.0548,0.0,0.259,0.463,180.039,31mXBmSoVPbpWpm3nu0AND,210325,5
0.601,0.787,-6.178,0.031,0.0492,0.0,0.142,0.525,134.981,09AvsbivV1FQBRAEBJh7UL,175163,5
0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,3uUuGVFu1V7jTQL60S1r8z,148197,1
0.693,0.913,-3.035,0.0298,0.0542,6.87e-05,0.231,0.795,123.989,055Mme9ReKK99jRFA5UJ55,204933,2
0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,561jH07mF1jHuk7KlaeF0s,250760,4
0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,7Ie9W94M7OjPoZVV216Xus,248133,4
0.662,0.618,-7.505,0.233,0.104,0.0,0.091,0.429,144.896,2EN2lY3q66SJOfxRN5EUDr,165067,4
0.767,0.621,-4.814,0.0422,0.581,0.0,0.19,0.479,91.033,2MLIRLTx41VStC8Z5NJEG6,176405,2
